unix,date,symbol,open,high,low,close,Volume SOL,Volume UST
1651860000,2022-05-06 18:00:00,SOL/UST,81.605,81.81,81.134,81.644,202.69382888,16528.6898820685
1651856400,2022-05-06 17:00:00,SOL/UST,82.322,82.322,81.583,81.626,397.80137032,32612.90636922805
1651852800,2022-05-06 16:00:00,SOL/UST,81.841,82.424,81.186,82.409,297.84705328,24372.58981230506
1651849200,2022-05-06 15:00:00,SOL/UST,82.457,83.177,81.579,82.046,808.17623419,66594.75847597966
1651845600,2022-05-06 14:00:00,SOL/UST,81.105,82.537,80.857,82.391,828.05150886,67623.7815883247
1651842000,2022-05-06 13:00:00,SOL/UST,81.27,82.062,80,81.011,647.31555156,52376.21841375292
1651838400,2022-05-06 12:00:00,SOL/UST,81.431,82.988,80.86,81.697,634.92767355,51931.47088087144
1651834800,2022-05-06 11:00:00,SOL/UST,81.881,82.555,80.537,81.18,652.24046781,52974.21702542997
1651831200,2022-05-06 10:00:00,SOL/UST,83.403,83.403,81.599,81.881,387.98718325,31870.40108674763
1651827600,2022-05-06 09:00:00,SOL/UST,82.578,83.592,80.18,83.271,655.24081235,53722.3360355075
